medium;description;compound;bigg_id;formula;exchange_flux
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Pyridoxal;pydx;C8H9NO3;0.0032104585172866
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Riboflavin;ribflv;C17H19N4O6;0.0036932341279277
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Serine;ser__L;C3H7NO3;37.3792255591735
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Thiamin;thm;C12H17N4OS;5.40785801339038
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Threonine;thr__L;C4H9NO3;25.8810502421104
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Tryptophan;trp__L;C11H12N2O2;4.55482477186948
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Tyrosine;tyr__L;C9H11NO3;15.6468539670012
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Valine;val__L;C5H11NO2;37.7843773128131
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Zn2+;zn2;Zn;0.150963597430407
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Ethanol;etoh;C2H6O;234.434015507376
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Beta-Carotene;caro;C40H56;0.0035855806386841
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;All-trans-Retinol;retinol;C20H30O;3.00225238748885
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Adenosylcobalamin;adocbl;C72H100CoN18O17P;3.6085500605e-06
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Nicotinamide;ncam;C6H6N2O;0.145527600499817
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Pyridoxamine;pydam;C8H13N2O2;0.0031717700644007
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Pyridoxine;pydxn;C8H11NO3;0.0031722050213838
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Biotin;btn;C10H15N2O3S;0.0001786663279938
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;10-Formyltetrahydrofolate;10fthf;C20H21N7O7;0.0001257521370385
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;5-Methyltetrahydrofolate;5mthf;C20H24N7O6;0.0001293113132375
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;5,6,7,8-Tetrahydrofolate;thf;C19H21N7O6;0.0001336958093047
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;L-Ascorbate;ascb__L;C6H7O6;0.58344116649402
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Calciol (Vitamin D3);vitd3;C27H44O;8.7614916582e-06
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Alpha-Tocopherol;avite1;C29H50O2;0.0368580802547259
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Vitamin K1 (phyQ);;C29H50O2;0.0001368772766192
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;D-Mannitol;mnl;C6H14O6;0.170169038237532
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Xylitol;xylt;C5H12O5;0.141969084917231
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Lactose;lcts;C12H22O11;4.12671470494148
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Maltose;malt;C12H22O11;8.41375824760113
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Sucrose;sucr;C12H22O11;202.383021737003
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;D-Fructose;fru;C6H12O6;106.505865197865
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;D-Galactose;gal;C6H12O6;0.0299740391516459
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Celluose (n=500 repeating units, beta-1,4 glc);cell500;C3000H5002O2501;0.052346876171936
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Urate;urate;C5H4N4O3;2.91939280341538
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Decanoate (n-C10:0);dca;C10H19O2;10.7484261929606
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Dodecanoate (n-C12:0);ddca;C12H23O2;13.4590471717898
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Tetradecanoate (n-C14:0);ttdca;C14H27O2;30.2113800398482
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Tetradecenoate (n-C14:1);ttdcea;C14H25O2;3.78398479501178
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Pentadecanoate;ptdca;C15H30O2;2.89407662964767
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Hexadecanoate (n-C16:0);hdca;C16H31O2;92.7850671903611
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Heptadecanoate C170 ;hpdca;C17H33O2;1.77952492310981
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Octadecanoate (n-C18:0);ocdca;C18H35O2;35.850866390117
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Octadecenoate (n-C18:1);ocdcea;C18H33O2;101.592732580242
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Linoleic acid (all cis C18:2) n-6;lnlc;C18H31O2;54.9854618653545
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Alpha-Linolenic acid, C18:3, n-3;lnlnca;C18H29O2;4.1633368983032
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Arachidic acid;arach;C20H39O2;1.0330553972827
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;11-cis-eicosenoate;CE2510;C20H37O2;1.0866650339605
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Cis,cis-11,14-eicosadienoyl-CoA;CE4843;C41H66N7O17P3S;0.114865262591682
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Arachidonic acid;arachd;C20H31O2;0.536810750978139
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Docosanoate;docosac;C22H43O2;0.4540962307068
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;3(Z)-13-docosenoic acid;doco13ac;C22H41O2;0.560730442644664
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Clupanodonic acid;clpnd;C22H33O2;0.0483768856818379
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Cervonic acid, C22:6 n-3;crvnc;C22H31O2;0.166300079729987
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Butyrate (n-C4:0);but;C4H7O2;26.3342564399315
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Octanoate (n-C8:0);octa;C8H15O2;6.84557290848338
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Chsterol c;chsterol;C27H46O;1.23218850986736
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;D-Sorbitol;sbt__D;C6H14O6;0.0329359428846836
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Lignoceric acid;lgnc;C24H47O2;0.222615855993872
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Hexadecenoate (n-C16:1);hdcea;C16H29O2;7.1204730223287
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]});strch1;C66H112O56;33.0369997278473
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Iodid;i;I;0.0020123798633728
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch);starch1200;C7200H12002O6001;0.305869770147688
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Co2+;cobalt2;Co;
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Molybdate;mobd;MoO4;
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Ni2+;ni2;Ni;
VMH-EUavg;extracted from VMH (virtual metabolic human database) - EU average diet;Superoxide;o2s;O2;
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Alanine;ala__L;C3H7NO2;29.5717855010259
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Arginine;arg__L;C6H15N4O2;23.8655113981082
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Aspartate;asp__L;C4H6NO4;46.5239332085239
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Ca2+;ca2;Ca;21.0512001596886
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Cl-;cl;Cl;219.156347840803
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Cu2+;cu2;Cu;0.0436691530544802
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Cysteine;cys__L;C3H7NO2S;7.48401676485785
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Fe2+;fe2;Fe;0.162727191333154
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Fe3+;fe3;Fe;0.162727191333154
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Folate;fol;C19H17N7O6;0.000297620061332
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;D-Glucose;glc__D;C6H12O6;112.061303570963
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Glutamate;glu__L;C5H8NO4;85.2144759182953
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;Glycine;gly;C2H5NO2;36.4512979141189
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;H2O;h2o;H2O;204712.055543961
VMH-vegan;extracted from VMH (virtual metabolic human database) - vegan diet;L-Histidine;his__L;C6H9N3O2;9.22412226256907
